hanzi,level,pinyin,definition
不见得,5,bu4 jian4 de5,not necessarily; not likely,
不禁,6,bu4 jin1,can't help (doing sth); can't refrain from,
不仅,4,bu4 jin3,not only (this one); not just (...) but also,
布局,6,bu4 ju2,arrangement; composition; layout; opening (chess jargon),
不堪,6,bu4 kan1,cannot bear; cannot stand; utterly; extremely,
不可思议,6,bu4 ke3 si1 yi4,inconceivable (idiom); unimaginable; unfathomable,
不客气,1,bu4 ke4 qi5,you're welcome; impolite; rude; blunt; don't mention it,
不愧,6,bu4 kui4,be worthy of; deserve to be called; prove oneself to be,
不料,6,bu4 liao4,unexpectedly; to one's surprise,
部门,5,bu4 men2,department; branch; section; division; CL:個|个[ge4],
不免,5,bu4 mian3,unavoidable,
不耐烦,5,bu4 nai4 fan2,impatience; impatient,
不然,5,bu4 ran2,not so; no; or else; otherwise; if not,
不如,5,bu4 ru2,not equal to; not as good as; inferior to; it would be better to,
不时,6,bu4 shi2,frequently; often; at any time,
部署,6,bu4 shu3,to dispose; to deploy; deployment,
部位,6,bu4 wei4,position; place,
不惜,6,bu4 xi1,not stint; not spare; not hesitate (to do sth); not scruple (to do sth),
不相上下,6,bu4 xiang1 shang4 xia4,equally matched; about the same,
不像话,6,bu4 xiang4 hua4,unreasonable; shocking; outrageous,
不屑一顾,6,bu4 xie4 yi1 gu4,to disdain as beneath contempt,
不言而喻,6,bu4 yan2 er2 yu4,it goes without saying; it is self-evident,
不要紧,5,bu4 yao4 jin3,unimportant; not serious; it doesn't matter; never mind; it looks all right; but,
不由得,6,bu4 you2 de5,can't help; cannot but,
不择手段,6,bu4 ze2 shou3 duan4,by fair means or foul; by hook or by crook; unscrupulously,
不止,6,bu4 zhi3,incessantly; without end; more than; not limited to,
布置,6,bu4 zhi4,to put in order; to arrange; to decorate; to fix up; to deploy,
步骤,5,bu4 zhou4,step; move; measure,
不足,5,bu4 zu2,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,
擦,4,ca1,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish,
猜,4,cai1,to guess,
才,3,cai2,ability; talent; endowment; gift; an expert; only (then); only if; just,
财产,5,cai2 chan3,property; CL:筆|笔[bi3],
裁缝,6,cai2 feng5,tailor; dressmaker,
财富,6,cai2 fu4,wealth; riches,
才干,6,cai2 gan4,ability; competence,
材料,4,cai2 liao4,"material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]",
裁判,6,cai2 pan4,"judgment; to referee; umpire; judge; referee; CL:個|个[ge4],位[wei4],名[ming2]",
财务,6,cai2 wu4,financial affairs,
裁员,6,cai2 yuan2,to cut staff; to lay off employees,
财政,6,cai2 zheng4,finances (public); financial,
踩,5,cai3,to step on; to tread; to stamp; to press a pedal; to pedal (a bike),
采访,5,cai3 fang3,to interview; to gather news; to hunt for and collect; to cover,
采购,6,cai3 gou4,to procure (for an enterprise etc); to purchase,
彩虹,5,cai3 hong2,rainbow,
采集,6,cai3 ji2,to gather; to collect; to harvest,
采纳,6,cai3 na4,to accept; to adopt,
彩票,6,cai3 piao4,the lottery; lottery ticket,
采取,5,cai3 qu3,"to adopt or carry out (measures, policies, course of action); to take",
菜,1,cai4,"dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pan2],道[dao4]",
菜单,3,cai4 dan1,"menu; CL:份[fen4],張|张[zhang1]",
参观,4,can1 guan1,to look around; to inspect; visit and observe,
参加,3,can1 jia1,to participate; to take part; to join,
参考,5,can1 kao3,consultation; reference; to consult; to refer,
参谋,6,can1 mou2,staff officer; give advice,
餐厅,5,can1 ting1,"dining-hall; dining-room; restaurant; CL:間|间[jian1],家[jia1]",
参与,5,can1 yu4,to participate (in sth),
参照,6,can1 zhao4,to consult a reference; to refer to (another document),
